variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16
original4,dense_uint64,4096,1,0,0,0,0,insert,0.000312900,4096,13.090444,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,0,lookup_success,0.000054400,4096,75.294118,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,0,lookup_absent,0.000022900,4096,178.864629,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,1,insert,0.000205800,4096,19.902818,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,1,lookup_success,0.000057000,4096,71.859649,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,1,lookup_absent,0.000017700,4096,231.412430,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,2,insert,0.000195500,4096,20.951407,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,2,lookup_success,0.000057000,4096,71.859649,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,2,lookup_absent,0.000017600,4096,232.727275,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
original4,dense_uint64,4096,1,0,0,0,3,insert,0.000185900,4096,22.033351,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024,0,0,0,0,0,0,1
