variant,workload,n,seed,run,operation,seconds,visited,scans,mops_per_sec,scans_per_sec,avg_entries_per_scan,prefix_len,fanout_target,groups,keys,bytes_per_key,internal_node_bytes,total_bytes,avg_leaf_depth,max_leaf_depth
original4,dense_uint64,4096,1,0,iter_full,0.000024200,12288,3,507.768545,123966.929999,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,1,iter_full,0.000025700,12288,3,478.132310,116731.520954,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,2,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,3,iter_full,0.000026500,12288,3,463.698020,113207.524386,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,4,iter_full,0.000026500,12288,3,463.698147,113207.555469,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,5,iter_full,0.000026500,12288,3,463.698020,113207.524386,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,6,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,7,iter_full,0.000026600,12288,3,461.954781,112781.929046,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,8,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,9,iter_full,0.000026600,12288,3,461.954908,112781.959896,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,0,iter_prefix,0.005825100,2097152,512,360.019914,87895.486758,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,1,iter_prefix,0.004669600,2097152,512,449.107418,109645.365793,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,2,iter_prefix,0.004547600,2097152,512,461.155774,112586.858968,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,3,iter_prefix,0.005013500,2097152,512,418.300987,102124.264520,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,4,iter_prefix,0.004464900,2097152,512,469.697418,114672.221169,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,5,iter_prefix,0.003802800,2097152,512,551.475755,134637.635494,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,6,iter_prefix,0.003811700,2097152,512,550.188105,134323.267820,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,7,iter_prefix,0.003821700,2097152,512,548.748462,133971.792526,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,8,iter_prefix,0.003994100,2097152,512,525.062467,128189.078906,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,9,iter_prefix,0.003816200,2097152,512,549.539333,134164.876116,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,0,iter_prefix,0.000433400,131072,512,302.427316,1181356.703141,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,1,iter_prefix,0.000422100,131072,512,310.523574,1212982.710967,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,2,iter_prefix,0.000266800,131072,512,491.274360,1919040.468578,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,3,iter_prefix,0.000266900,131072,512,491.090292,1918321.452068,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,4,iter_prefix,0.000266700,131072,512,491.458566,1919760.024287,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,5,iter_prefix,0.000271800,131072,512,482.236946,1883738.070599,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,6,iter_prefix,0.000272800,131072,512,480.469215,1876832.869962,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
original4,dense_uint64,4096,1,7,iter_prefix,0.000271700,131072,512,482.414436,1884431.391338,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
