variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,100,1,100,0.0,insert,25,23.114959479999996,2.471320014762138,0.9687574457867582
node256_only,controlled_fanout,100,1,100,0.0,lookup_absent,25,95.99999908,4.60566917458881,1.8054223164388135
node256_only,controlled_fanout,100,1,100,0.0,lookup_success,25,93.87879348,4.918987200807227,1.9282429827164331
node256_only,controlled_fanout,200,2,100,0.0,insert,25,3.31614352,0.6077748741021163,0.23824775064802955
node256_only,controlled_fanout,200,2,100,0.0,lookup_absent,25,108.81497412,25.07122645324623,9.827920769672522
node256_only,controlled_fanout,200,2,100,0.0,lookup_success,25,95.91582227999999,24.013504853263864,9.413293902479435
node256_only,controlled_fanout,300,3,100,0.0,insert,25,5.91062052,3.6226398462957015,1.420074819747915
node256_only,controlled_fanout,300,3,100,0.0,lookup_absent,25,119.2907696,21.13158121612067,8.283579836719301
node256_only,controlled_fanout,300,3,100,0.0,lookup_success,25,106.71277459999999,17.062516268290906,6.688506377170034
node256_only,controlled_fanout,400,4,100,0.0,insert,25,7.9924195199999994,5.581092875988075,2.1877884073873255
node256_only,controlled_fanout,400,4,100,0.0,lookup_absent,25,101.97892856,20.935073014431104,8.206548621656992
node256_only,controlled_fanout,400,4,100,0.0,lookup_success,25,90.95358464,18.139124095373727,7.110536645386501
node256_only,controlled_fanout,500,5,100,0.0,insert,25,9.2318508,6.5966929283645435,2.585903627918901
node256_only,controlled_fanout,500,5,100,0.0,lookup_absent,25,108.69212704000002,26.472045279936033,10.377041749734925
node256_only,controlled_fanout,500,5,100,0.0,lookup_success,25,96.56306176,22.104302411859358,8.66488654544887
node256_only,controlled_fanout,600,6,100,0.0,insert,25,9.4957894,1.1698579697075067,0.45858432412534256
node256_only,controlled_fanout,600,6,100,0.0,lookup_absent,25,128.49758696,4.640573171255398,1.819104683132116
node256_only,controlled_fanout,600,6,100,0.0,lookup_success,25,109.87964568,7.053343725614961,2.7649107404410644
node256_only,controlled_fanout,700,7,100,0.0,insert,25,8.92598844,1.7165107971689273,0.6728722324902195
node256_only,controlled_fanout,700,7,100,0.0,lookup_absent,25,119.94301524000001,20.775109373912297,8.14384287457362
node256_only,controlled_fanout,700,7,100,0.0,lookup_success,25,100.84206599999999,17.659281117057755,6.92243819788664
node256_only,controlled_fanout,800,8,100,0.0,insert,25,8.1385966,2.493825001551398,0.977579400608148
node256_only,controlled_fanout,800,8,100,0.0,lookup_absent,25,92.74201907999999,32.49323881270066,12.737349614578658
node256_only,controlled_fanout,800,8,100,0.0,lookup_success,25,78.32567528,27.02933532532195,10.595499447526205
node256_only,controlled_fanout,1000,1,1000,0.0,insert,25,25.158085999999997,4.422806936759308,1.7337403192096488
node256_only,controlled_fanout,1000,1,1000,0.0,lookup_absent,25,124.9262722,23.05938522179274,9.039279006942754
node256_only,controlled_fanout,1000,1,1000,0.0,lookup_success,25,103.34329987999999,21.239819703817002,8.326009323896264
node256_only,controlled_fanout,1200,12,100,0.0,insert,25,12.683635520000001,1.9871477824190014,0.7789619307082485
node256_only,controlled_fanout,1200,12,100,0.0,lookup_absent,25,113.09894560000001,14.688372096908008,5.75784186198794
node256_only,controlled_fanout,1200,12,100,0.0,lookup_success,25,91.99679067999999,10.324686720463605,4.047277194421733
node256_only,controlled_fanout,1500,15,100,0.0,insert,25,14.22463132,3.577301357760595,1.4023021322421534
node256_only,controlled_fanout,1500,15,100,0.0,lookup_absent,25,116.59260848,26.37070782075562,10.337317465736202
node256_only,controlled_fanout,1500,15,100,0.0,lookup_success,25,92.56225567999999,19.685451369087787,7.716696936682412
node256_only,controlled_fanout,1600,16,100,0.0,insert,25,15.409846,2.899432610461442,1.1365775833008853
node256_only,controlled_fanout,1600,16,100,0.0,lookup_absent,25,120.1762954,21.465607888316306,8.414518292219991
node256_only,controlled_fanout,1600,16,100,0.0,lookup_success,25,94.06670912,16.607101613857687,6.509983832632213
node256_only,controlled_fanout,1700,17,100,0.0,insert,25,14.121947639999998,2.2190527092874346,0.8698686620406744
node256_only,controlled_fanout,1700,17,100,0.0,lookup_absent,25,112.87404115999999,14.990282675223343,5.87619080868755
node256_only,controlled_fanout,1700,17,100,0.0,lookup_success,25,89.10906648,9.9246902450196,3.8904785760476828
node256_only,controlled_fanout,1800,18,100,0.0,insert,25,14.780587599999999,2.9415120391142233,1.1530727193327754
node256_only,controlled_fanout,1800,18,100,0.0,lookup_absent,25,123.15910824000001,19.70786019361463,7.7254811958969345
node256_only,controlled_fanout,1800,18,100,0.0,lookup_success,25,96.68793404,13.865078375582602,5.43511072322838
node256_only,controlled_fanout,2000,2,1000,0.0,insert,25,3.5888951600000003,0.34604974635769237,0.1356515005722154
node256_only,controlled_fanout,2000,2,1000,0.0,lookup_absent,25,97.69845628000002,9.156879477441587,3.589496755157102
