variant,workload,n,fanout_target,groups,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,node2_bytes,node4_bytes,node5_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,fanout_1_2,fanout_3_5,fanout_6_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256
node256_only,dense_uint64,4096,0,0,32.566,35088.0,98304.0,133392.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35088.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0
node256_only,dense_uint64,8192,0,0,32.314,68112.0,196608.0,264720.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68112.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0
node256_only,dense_uint64,16384,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134160.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0
node256_only,dense_uint64,32768,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266256.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
node256_only,dense_uint64,65536,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530448.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0
node256_only,dense_uint64,131072,0,0,32.11,1062960.0,3145728.0,4208688.0,515.0,131072.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062960.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0
node256_only,dense_uint64,262144,0,0,32.102,2123856.0,6291456.0,8415312.0,1029.0,262144.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123856.0,0.0,1.0,0.0,0.0,0.0,0.0,1028.0
node256_only,dense_uint64,524288,0,0,32.098,4245648.0,12582912.0,16828560.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245648.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0
node256_only,dense_uint64,1048576,0,0,32.096,8489232.0,25165824.0,33655056.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8489232.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0
node256_only,dense_uint64,2097152,0,0,32.095,16976400.0,50331648.0,67308048.0,8225.0,2097152.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16976400.0,0.0,0.0,0.0,1.0,0.0,0.0,8224.0
node256_only,dense_uint64,4194304,0,0,32.094,33950736.0,100663296.0,134614032.0,16449.0,4194304.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33950736.0,0.0,0.0,0.0,0.0,0.0,1.0,16448.0
node256_only,sparse_uint64,4096,0,0,218.004,794640.0,98304.0,892944.0,385.0,4096.0,2.065,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794640.0,125.0,3.0,157.0,99.0,0.0,0.0,1.0
node256_only,sparse_uint64,8192,0,0,214.477,1560384.0,196608.0,1756992.0,756.0,8192.0,2.126,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560384.0,478.0,21.0,1.0,172.0,83.0,0.0,1.0
node256_only,sparse_uint64,16384,0,0,281.622,4220880.0,393216.0,4614096.0,2045.0,16384.0,2.231,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4220880.0,1620.0,168.0,0.0,0.0,34.0,195.0,28.0
node256_only,sparse_uint64,32768,0,0,413.457,12761712.0,786432.0,13548144.0,6183.0,32768.0,2.397,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12761712.0,4969.0,957.0,0.0,0.0,0.0,0.0,257.0
node256_only,sparse_uint64,65536,0,0,577.1,36247968.0,1572864.0,37820832.0,17562.0,65536.0,2.634,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36247968.0,12050.0,5221.0,34.0,0.0,0.0,0.0,257.0
node256_only,sparse_uint64,131072,0,0,647.474,81719952.0,3145728.0,84865680.0,39593.0,131072.0,2.8710000000000004,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81719952.0,18234.0,20093.0,1009.0,0.0,0.0,0.0,257.0
node256_only,sparse_uint64,262144,0,0,509.033,127148592.0,6291456.0,133440048.0,61603.0,262144.0,2.9960000000000004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127148592.0,11615.0,35994.0,13737.0,0.0,0.0,0.0,257.0
node256_only,sparse_uint64,524288,0,0,313.467,151763856.0,12582912.0,164346768.0,73529.0,524288.0,3.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151763856.0,8568.0,12115.0,52418.0,171.0,0.0,0.0,257.0
node256_only,sparse_uint64,1048576,0,0,215.199,200486640.0,25165824.0,225652464.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200486640.0,30666.0,777.0,40212.0,25219.0,4.0,0.0,257.0
node256_only,sparse_uint64,2097152,0,0,207.787,385429296.0,50331648.0,435760944.0,186739.0,2097152.0,3.1180000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385429296.0,116024.0,4922.0,158.0,44854.0,20497.0,27.0,257.0
node256_only,sparse_uint64,4194304,0,0,275.67,1055579136.0,100663296.0,1156242432.0,511424.0,4194304.0,3.222,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055579136.0,409933.0,35695.0,3.0,4.0,7146.0,50490.0,8153.0
node256_only,uuid_fixture,4096,0,0,771.57,2943264.0,217088.0,3160352.0,1426.0,4096.0,3.704,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2943264.0,842.0,310.0,274.0,0.0,0.0,0.0,0.0
