menu,node_count,node_types,variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16,unique_keys,duplicate_keys
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,insert,0.003974000,100000,25.163563,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_success,0.002511000,100000,39.824767,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_early,0.000781000,100000,128.041029,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_late,0.002203001,100000,45.392632,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,insert,0.003692000,100000,27.085589,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_success,0.002362000,100000,42.337006,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_early,0.000734000,100000,136.239868,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_late,0.001520000,100000,65.789456,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,insert,0.005528000,100000,18.089724,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_success,0.001490000,100000,67.114107,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_early,0.000671000,100000,149.031248,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,100000,1,0,0,0,0,lookup_absent_late,0.001569999,100000,63.694293,100000,0,0,0,0,394,394,100000,813216,2400000,3213216,32.132,8.000,8,1,0,0,0,0,393,0,0,0,0,0,0,813216,0,0,0,0,1,0,0,100000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,insert,0.155478000,1000000,6.431778,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_success,0.096830000,1000000,10.327378,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.007037001,1000000,142.105996,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.021500999,1000000,46.509467,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,insert,0.154550000,1000000,6.470398,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_success,0.100370000,1000000,9.963136,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.007343000,1000000,136.184125,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.021426000,1000000,46.672268,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,insert,0.155037000,1000000,6.450073,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_success,0.097758000,1000000,10.229342,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.006351000,1000000,157.455526,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,dense_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.020630000,1000000,48.473097,1000000,0,0,0,0,3924,3924,1000000,8099136,24000000,32099136,32.099,8.000,8,0,1,0,0,1,3922,0,0,0,0,0,0,8099136,0,0,0,0,0,0,1,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,insert,0.016575000,100000,6.033182,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,100000,1,0,0,0,0,lookup_success,0.004818999,100000,20.751197,100000,0,0,0,0,30142,30142,100000,62213088,2400000,64613088,646.131,2.789,4,28664,1221,0,0,0,257,0,0,0,0,0,0,62213088,0,0,0,0,17071,12528,286,100000,0
