variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count1_node256,dense_uint64,4096,0,0,0,32.566,35088.0,98304.0,133392.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1
count1_node256,dense_uint64,8192,0,0,0,32.314,68112.0,196608.0,264720.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1
count1_node256,dense_uint64,16384,0,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1
count1_node256,dense_uint64,32768,0,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1
count1_node256,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,1
count1_node256,dense_uint64,131072,0,0,0,32.11,1062960.0,3145728.0,4208688.0,515.0,131072.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,1
count1_node256,dense_uint64,262144,0,0,0,32.102,2123856.0,6291456.0,8415312.0,1029.0,262144.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,1
count1_node256,dense_uint64,524288,0,0,0,32.098,4245648.0,12582912.0,16828560.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057.0,1
count1_node256,dense_uint64,1048576,0,0,0,32.096,8489232.0,25165824.0,33655056.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4113.0,1
count1_node256,sparse_uint64,4096,0,0,0,218.004,794640.0,98304.0,892944.0,385.0,4096.0,2.065,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,1
count1_node256,sparse_uint64,8192,0,0,0,214.477,1560384.0,196608.0,1756992.0,756.0,8192.0,2.126,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,1
count1_node256,sparse_uint64,16384,0,0,0,281.622,4220880.0,393216.0,4614096.0,2045.0,16384.0,2.231,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.0,1
count1_node256,sparse_uint64,32768,0,0,0,413.457,12761712.0,786432.0,13548144.0,6183.0,32768.0,2.397,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6183.0,1
count1_node256,sparse_uint64,65536,0,0,0,577.1,36247968.0,1572864.0,37820832.0,17562.0,65536.0,2.634,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17562.0,1
count1_node256,sparse_uint64,131072,0,0,0,647.474,81719952.0,3145728.0,84865680.0,39593.0,131072.0,2.8710000000000004,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39593.0,1
count1_node256,sparse_uint64,262144,0,0,0,509.033,127148592.0,6291456.0,133440048.0,61603.0,262144.0,2.9960000000000004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61603.0,1
count1_node256,sparse_uint64,524288,0,0,0,313.467,151763856.0,12582912.0,164346768.0,73529.0,524288.0,3.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73529.0,1
count1_node256,sparse_uint64,1048576,0,0,0,215.199,200486640.0,25165824.0,225652464.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97135.0,1
count1_node256,uuid_fixture,4096,0,0,0,771.57,2943264.0,217088.0,3160352.0,1426.0,4096.0,3.704,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,1
count1_node256,uuid_fixture,8192,0,0,0,837.33,6425232.0,434176.0,6859408.0,3113.0,8192.0,4.007,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3113.0,1
count1_node256,uuid_fixture,16384,0,0,0,774.594,11822592.0,868352.0,12690944.0,5728.0,16384.0,4.223,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.0,1
count1_node256,uuid_fixture,32768,0,0,0,712.55,21612144.0,1736704.0,23348848.0,10471.0,32768.0,4.428,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,1
count1_node256,uuid_fixture,65536,0,0,0,776.011,47383248.0,3473408.0,50856656.0,22957.0,65536.0,4.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22957.0,1
count1_node256,uuid_fixture,100000,0,0,0,825.1010000000001,77210112.0,5300000.0,82510112.0,37408.0,100000.0,4.881,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37408.0,1
count1_node256,words_fixture,4096,0,0,0,1170.732,4687344.0,107973.0,4795317.0,2271.0,4096.0,7.882,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2271.0,1
count1_node256,words_fixture,8192,0,0,0,1147.395,9184800.0,214659.0,9399459.0,4450.0,8192.0,7.708000000000001,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,1
count1_node256,words_fixture,16384,0,0,0,1153.723,18466608.0,435989.0,18902597.0,8947.0,16384.0,8.015,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,1
count1_node256,words_fixture,32768,0,0,0,1095.142,35028144.0,857474.0,35885618.0,16971.0,32768.0,7.666,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16971.0,1
count1_node256,words_fixture,65536,0,0,0,1110.598,71051136.0,1733029.0,72784165.0,34424.0,65536.0,7.943,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34424.0,1
count1_node256,words_fixture,131072,0,0,0,1112.731,142380912.0,3466906.0,145847818.0,68983.0,131072.0,7.931,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68983.0,1
count1_node256,words_fixture,235886,0,0,0,1113.808,256464384.0,6267285.0,262731669.0,124256.0,235886.0,8.075,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124256.0,1
count2_node16_node256,dense_uint64,4096,0,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2
count2_node16_node256,dense_uint64,8192,0,0,0,32.314,68112.0,196608.0,264720.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2
count2_node16_node256,dense_uint64,16384,0,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2
count2_node16_node256,dense_uint64,32768,0,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,2
count2_node16_node256,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,2
count2_node16_node256,dense_uint64,131072,0,0,0,32.095,1061056.0,3145728.0,4206784.0,515.0,131072.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,514.0,2
count2_node16_node256,dense_uint64,262144,0,0,0,32.095,2121952.0,6291456.0,8413408.0,1029.0,262144.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1028.0,2
count2_node16_node256,dense_uint64,524288,0,0,0,32.094,4243744.0,12582912.0,16826656.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,2
count2_node16_node256,dense_uint64,1048576,0,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,2
count2_node16_node256,sparse_uint64,4096,0,0,0,85.523,252000.0,98304.0,350304.0,385.0,4096.0,2.065,4.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,100.0,2
count2_node16_node256,sparse_uint64,8192,0,0,0,98.266,608384.0,196608.0,804992.0,756.0,8192.0,2.126,4.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,256.0,2
count2_node16_node256,sparse_uint64,16384,0,0,0,73.837,816528.0,393216.0,1209744.0,2045.0,16384.0,2.231,4.0,0.0,0.0,0.0,1788.0,0.0,0.0,0.0,257.0,2
