variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
count1_node256,controlled_fanout,1000,1,1000,0,iter_full,25,331.46607576,14.893959334641474,331466.07574607997,14893.959281091395,1000.0,5.838432059179458,5838.432038187826
count1_node256,controlled_fanout,1000,1,1000,4,iter_prefix,25,43.05969175999999,3.085220411288853,43059691.75317788,3085220.4599384842,1.0,1.2094064012252304,1209406.4202958858
count1_node256,controlled_fanout,2000,2,1000,0,iter_full,25,14.59753108,0.8525504290620155,7298.76555824,426.27521644934967,2000.0,0.33419976819231006,167.09988484814508
count1_node256,controlled_fanout,2000,2,1000,4,iter_prefix,25,11.85356468,0.8527583797543281,5926782.348822,426379.2363792745,2.0,0.33428128486369657,167140.6606606756
count1_node256,controlled_fanout,3000,3,1000,0,iter_full,25,22.016138559999998,0.9919750190944866,7338.712838719999,330.65835381319766,3000.0,0.38885420748503874,129.6180746947735
count1_node256,controlled_fanout,3000,3,1000,4,iter_prefix,25,17.955910879999998,0.5249099871863201,5985303.64923568,174970.04208721366,3.0,0.20576471497703747,68588.25649818775
count1_node256,controlled_fanout,4000,4,1000,0,iter_full,25,27.58112188,1.1443395422466882,6895.280459799999,286.0848607717968,4000.0,0.4485811005607018,112.14526542254434
count1_node256,controlled_fanout,4000,4,1000,4,iter_prefix,25,22.345276560000002,0.9867242628477433,5586319.1387842,246681.05690251463,4.0,0.3867959110363154,96698.97430578573
count1_node256,controlled_fanout,5000,5,1000,0,iter_full,25,35.51333728,1.476453591096429,7102.66746564,295.29071002504867,5000.0,0.5787698077098001,115.75395832981908
count1_node256,controlled_fanout,5000,5,1000,4,iter_prefix,25,28.33699572,2.9309102441769195,5667399.14916204,586182.0452066599,5.0,1.1489168157173524,229783.3617210107
count1_node256,controlled_fanout,6000,6,1000,0,iter_full,25,38.89935252,2.3250610314308786,6483.22543116,387.51016529229673,6000.0,0.9114239243209044,151.9039847945803
count1_node256,controlled_fanout,6000,6,1000,4,iter_prefix,25,32.44660796,3.281824774992139,5407767.9887293605,546970.7816430026,6.0,1.2864753117969185,214412.54640405704
count1_node256,controlled_fanout,7000,7,1000,0,iter_full,25,47.21316084,1.8117751500405543,6744.73726136,258.8250148918288,7000.0,0.7102158588158973,101.45940583759689
count1_node256,controlled_fanout,7000,7,1000,4,iter_prefix,25,37.135286799999996,2.03345974028272,5305040.97675588,290494.24194928166,7.0,0.7971162181908263,113873.74284411842
count1_node256,controlled_fanout,8000,8,1000,0,iter_full,25,52.173812760000004,3.0299076122880435,6521.72657792,378.7384489641115,8000.0,1.187723784016913,148.46547199393171
count1_node256,controlled_fanout,8000,8,1000,4,iter_prefix,25,41.310053239999995,2.7294254212435645,5163756.66755068,341178.1717067731,8.0,1.0699347651274773,133741.84330905505
count1_node256,controlled_fanout,10000,1,10000,0,iter_full,25,347.6492742,24.087979426259768,34764.92742584,2408.7979436911505,10000.0,9.442487935093828,944.248793926931
count1_node256,controlled_fanout,10000,1,10000,4,iter_prefix,25,31.972050680000002,0.84724070039205,31972050.6501924,847240.6873111358,1.0,0.3321183545536836,332118.3494259652
count1_node256,controlled_fanout,10000,10,1000,0,iter_full,25,64.18015772,2.532662504719024,6418.015770720001,253.26624335068618,10000.0,0.9928037018498574,99.28036739346899
count1_node256,controlled_fanout,10000,10,1000,4,iter_prefix,25,49.67565548,3.7023899429173777,4967565.54377856,370238.9858037834,10.0,1.451336857623612,145133.6824350831
count1_node256,controlled_fanout,12000,12,1000,0,iter_full,25,72.59244592,6.965452301387535,6049.370491199999,580.4543701763079,12000.0,2.730457302143914,227.5381131091127
count1_node256,controlled_fanout,12000,12,1000,4,iter_prefix,25,55.36272252,8.337014405498863,4613560.20791628,694751.1975081278,12.0,3.268109646955554,272342.4694231861
count1_node256,controlled_fanout,15000,15,1000,0,iter_full,25,86.10932296000001,8.070171924514167,5740.62153328,538.0114574479354,15000.0,3.1635073944095535,210.90049131959069
count1_node256,controlled_fanout,15000,15,1000,4,iter_prefix,25,68.3195154,2.557296147300897,4554634.35816872,170486.4167421072,15.0,1.0024600897419516,66830.67536290603
count1_node256,controlled_fanout,16000,16,1000,0,iter_full,25,89.97494748,9.21066502485632,5623.43422192,575.6665591902113,16000.0,3.610580689743677,225.66129120256284
count1_node256,controlled_fanout,16000,16,1000,4,iter_prefix,25,74.61852712,4.773570830978494,4663657.9507516,298348.1732008615,16.0,1.8712397657435698,116952.4838947377
count1_node256,controlled_fanout,17000,17,1000,0,iter_full,25,92.40090728,10.689216640890482,5435.34749108,628.7774459247967,17000.0,4.190172923229069,246.48075880252026
count1_node256,controlled_fanout,17000,17,1000,4,iter_prefix,25,73.47434368,4.715633097134455,4322020.2158782,277390.1821046329,17.0,1.848528174076706,108736.95138501609
count1_node256,controlled_fanout,18000,18,1000,0,iter_full,25,96.41987176,11.324201772997284,5356.659546440001,629.1223195822367,18000.0,4.439087095014935,246.6159492762368
count1_node256,controlled_fanout,18000,18,1000,4,iter_prefix,25,77.10892868,7.315403644947412,4283829.37242148,406411.3128868601,18.0,2.867638228819385,159313.23465164917
count1_node256,controlled_fanout,20000,2,10000,0,iter_full,25,11.528463839999999,1.4317934149416336,576.42318976,71.58966668959025,20000.0,0.5612630186571204,28.063149342319377
count1_node256,controlled_fanout,20000,2,10000,4,iter_prefix,25,7.67369248,0.6713472046784061,3836846.21628124,335673.624211936,2.0,0.2631681042339352,131584.06069107892
count1_node256,controlled_fanout,24000,24,1000,0,iter_full,25,119.53198152,12.424910044557446,4980.49922888,517.7045891538562,24000.0,4.870564737466519,202.94019894831163
count1_node256,controlled_fanout,24000,24,1000,4,iter_prefix,25,95.10380692000001,4.921457216030737,3962658.62687836,205060.7150567888,24.0,1.9292112286840488,80383.80030226121
count1_node256,controlled_fanout,30000,3,10000,0,iter_full,25,11.150384120000002,1.4144553308193497,371.67947008000004,47.148511850748,30000.0,0.5544664896811851,18.482216645493217
count1_node256,controlled_fanout,30000,3,10000,4,iter_prefix,25,8.70631904,0.82932170933538,2902106.3450724,276440.56377662375,3.0,0.325094110059469,108364.70100043651
count1_node256,controlled_fanout,31000,31,1000,0,iter_full,25,141.83070904,5.755700797572997,4575.18415956,185.66776889649253,31000.0,2.256234712648615,72.78176540742507
count1_node256,controlled_fanout,31000,31,1000,4,iter_prefix,25,112.44056676,6.62406545305554,3627115.05746764,213679.5305455973,31.0,2.5966336575977715,83762.37597387415
count1_node256,controlled_fanout,32000,32,1000,0,iter_full,25,146.71337872,5.758609010587249,4584.7930841200005,179.9565324903828,32000.0,2.2573747321502013,70.54296073623007
count1_node256,controlled_fanout,32000,32,1000,4,iter_prefix,25,121.91730384,3.935124579163365,3809915.7416550396,122972.64272353954,32.0,1.542568835032039,48205.2759476275
count1_node256,controlled_fanout,33000,33,1000,0,iter_full,25,148.69974752,3.769923608290267,4506.05295432,114.24010831392624,33000.0,1.4778100544497845,44.78212245905909
count1_node256,controlled_fanout,33000,33,1000,4,iter_prefix,25,115.32351452,8.177081509952192,3494651.95761516,247790.35125285038,33.0,3.2054159519012595,97133.81769111735
count1_node256,controlled_fanout,34000,34,1000,0,iter_full,25,146.44575292,4.233478153699024,4307.2280290399995,124.51406306830765,34000.0,1.6595234362500175,48.8095127227766
count1_node256,controlled_fanout,34000,34,1000,4,iter_prefix,25,121.57781632,4.340356222466197,3575818.1294505196,127657.53599420772,34.0,1.7014196392067493,50041.75410972942
count1_node256,controlled_fanout,37000,37,1000,0,iter_full,25,152.44738719999998,10.223936537147942,4120.1996521599995,276.32260823936986,37000.0,4.007783122561993,108.31846242983298
count1_node256,controlled_fanout,37000,37,1000,4,iter_prefix,25,122.614001,4.379860707176493,3313891.91781592,118374.61614327597,37.0,1.7169053972131851,46402.84952816418
count1_node256,controlled_fanout,40000,4,10000,0,iter_full,25,13.504186520000001,1.8558947277720053,337.60466252,46.39736925480969,40000.0,0.727510733286626,18.187768747885396
count1_node256,controlled_fanout,40000,4,10000,4,iter_prefix,25,9.97525144,1.450672900491558,2493812.8867012,362668.24066954746,4.0,0.5686637769926908,142165.9503424626
count1_node256,controlled_fanout,40000,40,1000,0,iter_full,25,160.78248948,11.534753685681421,4019.5622392,288.3688430594253,40000.0,4.521623444787117,113.04058647929472
count1_node256,controlled_fanout,40000,40,1000,4,iter_prefix,25,138.40944044,4.761040402756047,3460236.0096893604,119026.01000496147,40.0,1.8663278378803703,46658.1959219449
count1_node256,controlled_fanout,47000,47,1000,0,iter_full,25,173.92205204,6.423115853696874,3700.46919272,136.66203822606727,47000.0,2.5178614146491745,53.571518984618365
count1_node256,controlled_fanout,47000,47,1000,4,iter_prefix,25,138.45858916,12.101471215249335,2945927.42891128,257478.10934112917,47.0,4.74377671637774,100931.41886172263
