variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count1_node256,dense_uint64,4096,0,0,0.0,insert,10,26.100018799999997,2.830984382629663,1.7546622992171692,1
count1_node256,dense_uint64,4096,0,0,0.0,lookup_absent,10,268.4237464,1.6827711380141888,1.0429923570760042,1
count1_node256,dense_uint64,4096,0,0,0.0,lookup_success,10,85.7318982,1.5305292869048681,0.94863188015369,1
count1_node256,dense_uint64,16384,0,0,0.0,insert,10,21.7861406,1.341723998289862,0.8316091498771501,1
count1_node256,dense_uint64,16384,0,0,0.0,lookup_absent,10,225.28440059999997,33.088184708702244,20.508269354691397,1
count1_node256,dense_uint64,16384,0,0,0.0,lookup_success,10,51.0758153,7.982682111770816,4.947717632814604,1
count1_node256,dense_uint64,65536,0,0,0.0,insert,10,17.592411300000002,2.158885321884989,1.3380909855554148,1
count1_node256,dense_uint64,65536,0,0,0.0,lookup_absent,10,262.7787576,14.458015659628794,8.96117094643851,1
count1_node256,dense_uint64,65536,0,0,0.0,lookup_success,10,39.0422527,2.574590339677537,1.5957476249885285,1
count1_node256,dense_uint64,262144,0,0,0.0,insert,10,8.447265,0.9500761519108762,0.5888632997667146,1
count1_node256,dense_uint64,262144,0,0,0.0,lookup_absent,10,196.323004,13.182338013413347,8.170497749686666,1
count1_node256,dense_uint64,262144,0,0,0.0,lookup_success,10,9.1062718,1.6693435654535853,1.0346698613792218,1
count1_node256,dense_uint64,1048576,0,0,0.0,insert,10,2.9357146,0.058633529497871706,0.0363414380917169,1
count1_node256,dense_uint64,1048576,0,0,0.0,lookup_absent,10,205.2018317,6.256307831800354,3.877699768361191,1
count1_node256,dense_uint64,1048576,0,0,0.0,lookup_success,10,4.175293,0.12504940332879977,0.07750642317455357,1
count1_node256,sparse_uint64,4096,0,0,0.0,insert,10,11.1846985,1.0783038444250455,0.6683396469874041,1
count1_node256,sparse_uint64,4096,0,0,0.0,lookup_absent,10,204.8322926,2.6927419353523545,1.66897874268561,1
count1_node256,sparse_uint64,4096,0,0,0.0,lookup_success,10,66.8454818,1.3733322170071371,0.8512001268069117,1
count1_node256,sparse_uint64,16384,0,0,0.0,insert,10,8.5937089,1.1930450193893172,0.7394569640284377,1
count1_node256,sparse_uint64,16384,0,0,0.0,lookup_absent,10,118.4300624,13.795496505490531,8.550537320407756,1
count1_node256,sparse_uint64,16384,0,0,0.0,lookup_success,10,43.320066600000004,2.2088129438151562,1.3690364462326146,1
count1_node256,sparse_uint64,65536,0,0,0.0,insert,10,3.6828846,0.10827069309446362,0.06710687082861955,1
count1_node256,sparse_uint64,65536,0,0,0.0,lookup_absent,10,33.8995644,1.4632323718188842,0.9069208200434575,1
count1_node256,sparse_uint64,65536,0,0,0.0,lookup_success,10,10.3275594,1.061751557632868,0.6580804333448739,1
count1_node256,sparse_uint64,262144,0,0,0.0,insert,10,2.3021206,0.06850371915970051,0.04245904502448521,1
count1_node256,sparse_uint64,262144,0,0,0.0,lookup_absent,10,19.1575501,1.5046772498708774,0.9326086215939329,1
count1_node256,sparse_uint64,262144,0,0,0.0,lookup_success,10,5.0591305,0.5871662519391572,0.363929413377151,1
count1_node256,sparse_uint64,1048576,0,0,0.0,insert,10,2.1183173,0.04760315678152729,0.029504742251768457,1
count1_node256,sparse_uint64,1048576,0,0,0.0,lookup_absent,10,17.8249131,0.5544688366655178,0.34366334542759575,1
count1_node256,sparse_uint64,1048576,0,0,0.0,lookup_success,10,3.854705,0.0861434109868215,0.05339223929032848,1
count1_node256,uuid_fixture,4096,0,0,0.0,insert,10,3.7493740000000004,0.4433504284230351,0.2747914424639358,1
count1_node256,uuid_fixture,4096,0,0,0.0,lookup_absent,10,174.851793,43.66638177296733,27.0647038218835,1
count1_node256,uuid_fixture,4096,0,0,0.0,lookup_success,10,33.3536638,1.5603972141967761,0.9671442132829139,1
count1_node256,uuid_fixture,16384,0,0,0.0,insert,10,3.5554004,0.32210688808089083,0.19964391760745323,1
count1_node256,uuid_fixture,16384,0,0,0.0,lookup_absent,10,137.50140449999998,12.171137919678943,7.543749438276875,1
count1_node256,uuid_fixture,16384,0,0,0.0,lookup_success,10,19.487748500000002,2.2432292070629014,1.390367867193919,1
count1_node256,uuid_fixture,65536,0,0,0.0,insert,10,2.2074097999999998,0.14032070638584396,0.08697167487234815,1
