variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16
count1_node256,dense_uint64,4096,1,0,0,0,0,insert,0.000216000,4096,18.962964,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,0,lookup_success,0.000045500,4096,90.021984,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,0,lookup_absent,0.000015500,4096,264.258037,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,1,insert,0.000172800,4096,23.703704,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,1,lookup_success,0.000048000,4096,85.333330,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,1,lookup_absent,0.000015200,4096,269.473696,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,2,insert,0.000153900,4096,26.614685,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,2,lookup_success,0.000048000,4096,85.333330,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,2,lookup_absent,0.000015200,4096,269.473696,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
count1_node256,dense_uint64,4096,1,0,0,0,3,insert,0.000148700,4096,27.545393,4096,0,0,0,0,17,17,4096,35088,98304,133392,32.566,8.000,8,0,1,0,0,0,16,0,0,0,0,0,0,35088,0,0,0,0,0,0,1
