variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
original4,dense_uint64,4096,1,0,0,0,0,insert,0.000218400,4096,18.754579,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,0,lookup_success,0.000049800,4096,82.248996,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,0,lookup_absent,0.000016300,4096,251.288344,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,1,insert,0.000181000,4096,22.629834,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,1,lookup_success,0.000052300,4096,78.317400,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,1,lookup_absent,0.000016000,4096,255.999999,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,2,insert,0.000186600,4096,21.950697,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,2,lookup_success,0.000052200,4096,78.467433,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,2,lookup_absent,0.000015900,4096,257.610063,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,3,insert,0.000177800,4096,23.037120,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,3,lookup_success,0.000052400,4096,78.167939,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,3,lookup_absent,0.000015900,4096,257.610063,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,4,insert,0.000180000,4096,22.755556,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,4,lookup_success,0.000050800,4096,80.629921,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,4,lookup_absent,0.000015900,4096,257.610063,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,5,insert,0.000176400,4096,23.219955,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,5,lookup_success,0.000052100,4096,78.618042,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,5,lookup_absent,0.000015900,4096,257.610063,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,6,insert,0.000178700,4096,22.921097,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,6,lookup_success,0.000052100,4096,78.618042,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,6,lookup_absent,0.000015900,4096,257.610063,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,7,insert,0.000171600,4096,23.869464,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,7,lookup_success,0.000061700,4096,66.385737,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,7,lookup_absent,0.000016100,4096,254.409939,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,8,insert,0.000180400,4096,22.705100,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,8,lookup_success,0.000052400,4096,78.167939,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,8,lookup_absent,0.000016100,4096,254.409939,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,9,insert,0.000176700,4096,23.180532,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,9,lookup_success,0.000052500,4096,78.019048,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,9,lookup_absent,0.000016000,4096,255.999999,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,10,insert,0.000174500,4096,23.472779,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
original4,dense_uint64,4096,1,0,0,0,10,lookup_success,0.000052600,4096,77.870722,4096,0,1,0,0,16,17,4096,33184,98304,131488,32.102,8.000,8,0,1,0,0,0,16,0,0,160,0,0,0,33024
