variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
original4,dense_uint64,65536,1,0,0,0,0,insert,0.005820900,65536,11.258740,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,0,lookup_success,0.001703100,65536,38.480418,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,0,lookup_absent,0.000263200,65536,248.996961,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,1,insert,0.004355900,65536,15.045341,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,1,lookup_success,0.001847300,65536,35.476642,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,1,lookup_absent,0.000264600,65536,247.679515,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,2,insert,0.004241200,65536,15.452230,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,2,lookup_success,0.001842900,65536,35.561344,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,2,lookup_absent,0.000241600,65536,271.258277,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,3,insert,0.005116400,65536,12.809006,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,3,lookup_success,0.001844900,65536,35.522793,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,3,lookup_absent,0.000220500,65536,297.215419,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,4,insert,0.004084500,65536,16.045048,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,4,lookup_success,0.001846300,65536,35.495857,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,4,lookup_absent,0.000213300,65536,307.248008,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,5,insert,0.004226900,65536,15.504507,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,5,lookup_success,0.001847200,65536,35.478562,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,5,lookup_absent,0.000218800,65536,299.524680,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,6,insert,0.004128100,65536,15.875584,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,6,lookup_success,0.001845400,65536,35.513168,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,6,lookup_absent,0.000211100,65536,310.450025,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,7,insert,0.003898000,65536,16.812724,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,7,lookup_success,0.001703700,65536,38.466866,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,7,lookup_absent,0.000200600,65536,326.699898,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,insert,0.003666900,65536,17.872317,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,lookup_success,0.001675900,65536,39.104959,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,8,lookup_absent,0.000188400,65536,347.855624,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
