variant,workload,n,seed,run,operation,seconds,visited,scans,mops_per_sec,scans_per_sec,avg_entries_per_scan,prefix_len,fanout_target,groups,keys,bytes_per_key,internal_node_bytes,total_bytes,avg_leaf_depth,max_leaf_depth
original4,controlled_fanout,1000,1,0,iter_full,0.000006700,3000,3,447.761188,447761.188322,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,1,iter_full,0.000006500,3000,3,461.538047,461538.046974,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,2,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,3,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,4,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,5,iter_full,0.000006500,3000,3,461.538047,461538.046974,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,6,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,7,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,8,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,9,iter_full,0.000006500,3000,3,461.538564,461538.563609,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,0,iter_prefix,0.000030700,512,512,16.677524,16677523.922415,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,1,iter_prefix,0.000030300,512,512,16.897691,16897690.946514,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,2,iter_prefix,0.000030200,512,512,16.953640,16953639.912347,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,3,iter_prefix,0.000030200,512,512,16.953640,16953639.912347,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,4,iter_prefix,0.000029500,512,512,17.355933,17355932.748855,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,5,iter_prefix,0.000029700,512,512,17.239057,17239056.893250,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,6,iter_prefix,0.000049200,512,512,10.406503,10406503.312211,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,7,iter_prefix,0.000029700,512,512,17.239057,17239056.893250,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,8,iter_prefix,0.000019100,512,512,26.806283,26806282.838059,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
original4,controlled_fanout,1000,1,9,iter_prefix,0.000019900,512,512,25.728645,25728644.853782,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,0,iter_full,0.000007600,3000,3,394.736860,394736.859635,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,1,iter_full,0.000007200,3000,3,416.666862,416666.862460,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,2,iter_full,0.000007200,3000,3,416.666441,416666.441398,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,3,iter_full,0.000007200,3000,3,416.666441,416666.441398,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,4,iter_full,0.000007200,3000,3,416.666862,416666.862460,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,5,iter_full,0.000007200,3000,3,416.666441,416666.441398,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,6,iter_full,0.000007200,3000,3,416.666441,416666.441398,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,7,iter_full,0.000007200,3000,3,416.666862,416666.862460,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,8,iter_full,0.000007200,3000,3,416.666862,416666.862460,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,9,iter_full,0.000007300,3000,3,410.958642,410958.642104,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,0,iter_prefix,0.000031500,512,512,16.253968,16253968.382999,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,1,iter_prefix,0.000031200,512,512,16.410258,16410257.743279,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,2,iter_prefix,0.000030600,512,512,16.732026,16732026.049275,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,3,iter_prefix,0.000030200,512,512,16.953644,16953643.996916,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,4,iter_prefix,0.000030400,512,512,16.842102,16842101.980105,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,5,iter_prefix,0.000030100,512,512,17.009965,17009964.719506,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,6,iter_prefix,0.000030100,512,512,17.009965,17009964.719506,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,7,iter_prefix,0.000031000,512,512,16.516131,16516131.193904,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,8,iter_prefix,0.000020600,512,512,24.854364,24854364.029391,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node64,controlled_fanout,1000,1,9,iter_prefix,0.000020600,512,512,24.854373,24854372.807999,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,0,iter_full,0.000008200,3000,3,365.853470,365853.469757,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,1,iter_full,0.000007900,3000,3,379.746742,379746.741860,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,2,iter_full,0.000007800,3000,3,384.615685,384615.684940,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,3,iter_full,0.000011700,3000,3,256.410377,256410.376899,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,4,iter_full,0.000011600,3000,3,258.620667,258620.666989,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,5,iter_full,0.000011700,3000,3,256.410217,256410.217443,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,6,iter_full,0.000011700,3000,3,256.410217,256410.217443,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,7,iter_full,0.000011700,3000,3,256.410217,256410.217443,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,8,iter_full,0.000011700,3000,3,256.410217,256410.217443,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,9,iter_full,0.000011700,3000,3,256.410377,256410.376899,1000.000000,0,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,0,iter_prefix,0.000030900,512,512,16.569578,16569577.970395,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,1,iter_prefix,0.000030800,512,512,16.623376,16623375.708145,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,2,iter_prefix,0.000030600,512,512,16.732026,16732026.049275,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,3,iter_prefix,0.000031400,512,512,16.305733,16305733.009344,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
node32_node64,controlled_fanout,1000,1,4,iter_prefix,0.000030900,512,512,16.569578,16569577.970395,1.000000,4,1,1000,1000,30.312000,8312,30312,4.000,4
